,0
0,6.6058607
1,6.5633626
2,6.6891885
3,7.2556663
4,7.727409
5,7.187382
6,6.8335295
7,7.352682
8,7.12818
9,7.238454
10,7.301672
11,7.409202
12,7.313332
13,7.3887167
14,7.2293754
15,7.1343875
16,7.149637
17,6.7263837
18,7.5660954
19,7.957138
20,6.599241
21,6.519499
22,5.384681
23,5.4911733
24,4.897722
25,4.9630632
26,5.8097396
27,6.7001257
28,6.257726
29,6.0607147
30,5.7508564
31,5.875953
32,5.639253
33,6.0872226
34,4.975903
35,6.8991885
36,7.188749
37,6.8334136
38,5.9274435
39,5.9004116
40,5.879386
41,5.9004116
42,5.922076
43,5.984878
44,5.879386
45,6.3862004
46,6.465482
47,6.693298
48,6.858495
49,6.880776
